oniguruma 6.9.10-1
openssh 10.5p1-1
openssl 3.6.3-1
p11-kit 0.26.5-1
pacman 7.1.0.r9.g54d9411-4
pacman-mirrorlist 20260610-1
pahole 1:1.31-2
pam 1.7.2-2
pambase 20260616-1
patch 2.8-1
pciutils 3.15.0-1
pcre2 10.47-1
perl 5.42.2-2
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.35-1
pinentry 1.3.3-1
pixman 0.46.4-1
pkgconf 3.0.5-1
polkit 127-3
polkit-qt6 0.201.1-1
popt 1.19-2
procps-ng 4.0.7-1
protobuf 35.1-1
psmisc 23.7-2
python 3.14.7-1
python-attrs 26.1.0-1
python-cffi 2.1.1-1
python-cryptography 50.0.0-1
python-filelock 3.29.3-1
python-gobject 3.56.3-1
python-packaging 26.3-1
python-pip 26.2.1-1
python-pycparser 3.00-1
python-wheel 0.48.0-1
qt6-base 6.11.2-2
qt6-tools 6.11.2-1
qt6-translations 6.11.2-1
readline 8.3.003-1
rhash 1.4.6-1
rsync 3.5.0-1
rust 1:1.97.1-1
scx-manager 1.15.12-1
scx-scheds 1.1.2-1
scx-tools 1.1.2-1
sed 4.10-2
shadow 4.20.0.arch1-1
shared-mime-info 2.5.1-2
source-highlight 3.1.9-19
spirv-tools 1:1.4.357.0-1
sqlite 3.53.4-1
strace 7.0-1
sudo 1.9.17.p2-6
systemd 261.2-1
systemd-libs 261.2-1
systemd-sysvcompat 261.2-1
tar 1.35-5
texinfo 7.3-1
tpm2-tss 4.2.0-2
tslib 1.24-1
ttf-dejavu 2.37+18+g9b5d1b2f-8
tzdata 2026c-1
util-linux 2.42.2-1
util-linux-libs 2.42.2-1
wayland 1.26.0-1
which 2.25-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-utils 1.2.1-2
xf86-input-libinput 1.5.0-1
xkeyboard-config 2.48-1
xorg-fonts-encodings 1.1.0-2
xorg-server 21.1.24-1
xorg-server-common 21.1.24-1
xorg-server-xvfb 21.1.24-1
xorg-setxkbmap 1.3.5-1
xorg-xauth 1.1.5-1
xorg-xkbcomp 1.5.0-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.4-1
xorgproto 2025.1-1
xterm 410-1
xxhash 0.8.3-1
xz 5.8.3-1
zlib 1:1.3.2-3
zlib-ng 2.3.3-2
zstd 1.5.7-2
